Make,Type,Asset Code,Category,Sub-Category,Model Number,Serial No.
Logitech,Logitech Laser Pointer,PNT/AF/17,Accessories,Computer accessories,Logitech,
Logitech,Logitech Laser Pointer,PNT/AF/27,Accessories,,Logitech,18ZAF48
Logitech,Logitech Laser Pointer,PNT/AF/81,Accessories,Computer accessories,Logitech,
Samsung,Phone,PNT/AW/15,Accessories,Interent and Communication Devices,Galaxy Ace 4,UIOOMU/LJ/RGMSKT/Y
Samsung,PHONE,PNT/AW/17,Accessories,Interent and Communication Devices,Samsung GT-E1205Y-KeyStone,ODQFMYGXAFSBAJW
Samsung,Phone,PNT/AW/27,Accessories,Interent and Communication Devices,Samsung GT-E1205Y-KeyStone,APGLSXELMCCADAK
Samsung,PHONE,PNT/AW/35,Accessories,Interent and Communication Devices,Galaxy Ace 4,UAPIQI/KG/YTVNCK/T
Infinix,Phone,PNT/AW/64,Accessories,Interent and Communication Devices,Hotnote X551,PCXYFEQDPDFDIZG/XXJSMOMHRIDSBVH
Tecno,Phone,PNT/AW/77,Accessories,Interent and Communication Devices,Camon C5,LONEHCJCEJDLNQA/IOWTKNYBKTKYFWE
Tecno,Phone,PNT/AW/81,Accessories,Interent and Communication Devices,Tecno T340,VUGMEERRJRXHPVU
Nokia ,Phone,PNT/AW/92,Accessories,Interent and Communication Devices,Lumia 640 XL,HRCZRMBWNSREESN/ YQVPZOROKODUSLE
Samsung,PHONE,PNT/AW/95,Accessories,Interent and Communication Devices,Samsung GT-E1205Y-KeyStone,AIYYFULHGGHQURV
Samsung,PHONE,PNT/AW/98,Accessories,Interent and Communication Devices,Galaxy Ace 4,RNSZNF/OR/SDKTMZ/Q
Logitech,Mouse,PNT/BPZ/11,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/15,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/17,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/27,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/34,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/35,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/35,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/44,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/64,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/72,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/77,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/78,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/81,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/95,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/98,Accessories,Computer accessories,Logitech Combo Pack,
Airtel,MIFI,PNT/DNIO/11,Accessories,Interent and Communication Devices,,
Airtel,MIFI,PNT/DNIO/44,Accessories,Interent and Communication Devices,,
Airtel,MIFI,PNT/DNIO/72,Accessories,Interent and Communication Devices,,
Asus ,Windows PC,PNT/EWSI/17,Accessories,Computers,Asus F450 Ci3-4010U,1V4A63WY6NKVZWA
Asus ,Windows PC,PNT/EWSI/27,Accessories,Computers,Asus F450 Ci3-4010U,1X3C12NP1SKLIQL
